event_time,event_name,event_source,source_ip,user_identity,region,error_code,is_anomaly
2025-11-02T12:10:26Z,GetFunction,lambda.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:role/lambda-execution-role,us-east-1,,0
2025-11-02T12:18:13Z,HeadObject,s3.amazonaws.com,54.239.28.85,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,us-east-1,,0
2025-11-02T12:34:28Z,ListRoles,iam.amazonaws.com,10.0.1.33,arn:aws:iam::123456789012:user/ops-erin,ap-southeast-1,,0
2025-11-02T12:45:19Z,Invoke,lambda.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:user/analyst-frank,ap-southeast-1,,0
2025-11-02T14:04:32Z,GetRole,iam.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:role/ecs-task-role,us-west-2,,0
2025-11-02T14:56:53Z,Query,dynamodb.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:user/developer-alice,us-west-2,ThrottlingException,0
2025-11-02T15:00:24Z,DescribeSubnets,ec2.amazonaws.com,10.0.2.45,arn:aws:iam::123456789012:role/lambda-execution-role,ap-southeast-1,,0
2025-11-02T16:07:15Z,GetUser,iam.amazonaws.com,10.0.3.8,arn:aws:iam::123456789012:user/developer-alice,us-west-2,ThrottlingException,0
2025-11-02T16:35:10Z,DescribeImages,ec2.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:role/lambda-execution-role,us-west-2,,0
2025-11-02T17:05:54Z,GetUser,iam.amazonaws.com,172.16.1.7,arn:aws:iam::123456789012:user/developer-bob,us-west-2,,0
2025-11-03T03:34:02Z,Query,dynamodb.amazonaws.com,185.220.101.33,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,us-west-2,AccessDenied,1
2025-11-03T09:05:40Z,GetFunction,lambda.amazonaws.com,10.0.1.15,arn:aws:iam::123456789012:user/developer-alice,eu-west-1,,0
2025-11-03T10:22:49Z,AssumeRole,sts.amazonaws.com,172.16.1.7,arn:aws:iam::123456789012:user/developer-carol,us-west-2,,0
2025-11-03T10:24:55Z,GetBucketLocation,s3.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/ops-dave,us-west-2,,0
2025-11-03T10:56:36Z,GetPolicy,iam.amazonaws.com,172.16.1.7,arn:aws:iam::123456789012:user/developer-alice,us-east-1,,0
2025-11-03T11:02:19Z,DescribeInstances,ec2.amazonaws.com,192.168.1.102,arn:aws:iam::123456789012:user/analyst-frank,us-west-2,,0
2025-11-03T11:16:07Z,CopyObject,s3.amazonaws.com,172.16.0.12,arn:aws:iam::123456789012:user/developer-carol,eu-west-1,,0
2025-11-03T12:45:21Z,ListPolicies,iam.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:user/ops-erin,ap-southeast-1,,0
2025-11-03T13:01:11Z,ModifyInstanceAttribute,ec2.amazonaws.com,185.220.101.33,arn:aws:iam::123456789012:user/ops-erin,us-west-2,,1
2025-11-03T13:10:47Z,Invoke,lambda.amazonaws.com,54.239.28.85,arn:aws:iam::123456789012:role/lambda-execution-role,us-east-1,,0
2025-11-03T13:39:51Z,DescribeAlarms,cloudwatch.amazonaws.com,10.0.1.15,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,eu-west-1,,0
2025-11-03T14:19:52Z,PutItem,dynamodb.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:user/developer-alice,us-west-2,,0
2025-11-03T14:56:04Z,GetRole,iam.amazonaws.com,10.0.2.45,arn:aws:iam::123456789012:user/developer-carol,ap-southeast-1,,0
2025-11-03T15:08:42Z,ListMetrics,cloudwatch.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/analyst-frank,us-east-1,,0
2025-11-03T16:39:36Z,GetObject,s3.amazonaws.com,172.16.0.12,arn:aws:iam::123456789012:user/ops-dave,eu-west-1,,0
2025-11-03T17:20:59Z,DescribeSecurityGroups,ec2.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:user/analyst-frank,us-west-2,,0
2025-11-04T08:19:18Z,AttachRolePolicy,iam.amazonaws.com,104.248.50.87,arn:aws:iam::123456789012:role/ecs-task-role,me-south-1,AccessDenied,1
2025-11-04T09:45:27Z,HeadObject,s3.amazonaws.com,192.168.1.102,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,us-west-2,,0
2025-11-04T10:49:27Z,ListUsers,iam.amazonaws.com,192.168.1.100,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,ap-southeast-1,,0
2025-11-04T11:01:02Z,ListRoles,iam.amazonaws.com,172.16.1.7,arn:aws:iam::123456789012:user/developer-bob,ap-southeast-1,,0
2025-11-04T12:32:30Z,PutItem,dynamodb.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:user/developer-bob,eu-west-1,,0
2025-11-04T12:45:44Z,GetFunction,lambda.amazonaws.com,10.0.3.19,arn:aws:iam::123456789012:user/ops-dave,us-west-2,,0
2025-11-04T13:42:26Z,DescribeSubnets,ec2.amazonaws.com,54.239.28.85,arn:aws:iam::123456789012:user/ops-erin,us-west-2,,0
2025-11-04T14:01:07Z,DescribeSecurityGroups,ec2.amazonaws.com,172.16.1.7,arn:aws:iam::123456789012:user/ops-erin,us-east-1,,0
2025-11-04T14:05:52Z,PutItem,dynamodb.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:user/ops-erin,us-west-2,,0
2025-11-04T14:17:55Z,GetBucketLocation,s3.amazonaws.com,10.0.2.45,arn:aws:iam::123456789012:user/analyst-frank,ap-southeast-1,,0
2025-11-04T14:22:46Z,ModifyInstanceAttribute,ec2.amazonaws.com,203.0.113.42,arn:aws:iam::123456789012:role/lambda-execution-role,sa-east-1,AccessDenied,1
2025-11-04T15:04:42Z,DescribeImages,ec2.amazonaws.com,10.0.3.8,arn:aws:iam::123456789012:user/developer-bob,eu-west-1,,0
2025-11-04T15:42:24Z,DescribeAlarms,cloudwatch.amazonaws.com,192.168.1.102,arn:aws:iam::123456789012:user/developer-carol,eu-west-1,,0
2025-11-04T16:57:10Z,ListMetrics,cloudwatch.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/ops-erin,us-west-2,,0
2025-11-04T17:15:58Z,GetItem,dynamodb.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/developer-carol,ap-southeast-1,,0
2025-11-04T17:31:40Z,GetRole,iam.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/developer-bob,eu-west-1,,0
2025-11-04T17:38:20Z,Scan,dynamodb.amazonaws.com,172.16.1.7,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,ap-southeast-1,,0
2025-11-05T08:27:31Z,DeleteObject,s3.amazonaws.com,104.248.50.87,arn:aws:iam::123456789012:user/temp-contractor-99,ap-southeast-1,,1
2025-11-05T09:05:41Z,ListFunctions,lambda.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:role/ecs-task-role,us-west-2,,0
2025-11-05T09:13:53Z,GetFunction,lambda.amazonaws.com,192.168.1.102,arn:aws:iam::123456789012:user/developer-alice,ap-southeast-1,,0
2025-11-05T09:22:19Z,Scan,dynamodb.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:role/lambda-execution-role,us-west-2,,0
2025-11-05T09:22:34Z,Invoke,lambda.amazonaws.com,10.0.3.8,arn:aws:iam::123456789012:user/developer-bob,eu-west-1,,0
2025-11-05T09:39:09Z,ListUsers,iam.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/developer-bob,us-west-2,,0
2025-11-05T10:37:01Z,DescribeImages,ec2.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:role/lambda-execution-role,ap-southeast-1,,0
2025-11-05T10:37:44Z,PutItem,dynamodb.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/ops-erin,us-east-1,ThrottlingException,0
2025-11-05T11:45:13Z,ListObjects,s3.amazonaws.com,10.0.3.19,arn:aws:iam::123456789012:user/analyst-frank,ap-southeast-1,,0
2025-11-05T11:46:33Z,ListMetrics,cloudwatch.amazonaws.com,172.16.1.7,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,ap-southeast-1,,0
2025-11-05T11:53:29Z,GetPolicy,iam.amazonaws.com,172.16.0.12,arn:aws:iam::123456789012:user/developer-alice,ap-southeast-1,ThrottlingException,0
2025-11-05T12:41:04Z,GetItem,dynamodb.amazonaws.com,192.168.1.100,arn:aws:iam::123456789012:user/developer-alice,us-west-2,,0
2025-11-05T13:21:20Z,GetCallerIdentity,sts.amazonaws.com,10.0.1.33,arn:aws:iam::123456789012:user/developer-carol,us-west-2,,0
2025-11-05T13:24:20Z,ListRoles,iam.amazonaws.com,10.0.3.8,arn:aws:iam::123456789012:user/analyst-frank,ap-southeast-1,,0
2025-11-05T13:49:23Z,GetPolicy,iam.amazonaws.com,172.16.1.7,arn:aws:iam::123456789012:user/developer-bob,us-west-2,,0
2025-11-05T15:16:53Z,ListObjects,s3.amazonaws.com,10.0.1.15,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,us-east-1,,0
2025-11-05T15:52:31Z,ListObjects,s3.amazonaws.com,10.0.3.8,arn:aws:iam::123456789012:role/ecs-task-role,us-west-2,,0
2025-11-06T10:52:04Z,GetFunction,lambda.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/developer-alice,us-west-2,,0
2025-11-06T11:19:00Z,DescribeAlarms,cloudwatch.amazonaws.com,10.0.1.33,arn:aws:iam::123456789012:user/ops-erin,us-east-1,,0
2025-11-06T12:46:26Z,Invoke,lambda.amazonaws.com,192.168.1.100,arn:aws:iam::123456789012:user/ops-dave,ap-southeast-1,,0
2025-11-06T13:05:15Z,HeadObject,s3.amazonaws.com,192.168.1.100,arn:aws:iam::123456789012:role/lambda-execution-role,us-west-2,,0
2025-11-06T13:30:30Z,GetFunction,lambda.amazonaws.com,10.0.1.33,arn:aws:iam::123456789012:user/developer-alice,eu-west-1,,0
2025-11-06T13:56:38Z,ListMetrics,cloudwatch.amazonaws.com,172.16.0.12,arn:aws:iam::123456789012:user/developer-alice,us-west-2,,0
2025-11-06T14:30:35Z,AssumeRole,sts.amazonaws.com,10.0.3.19,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,eu-west-1,,0
2025-11-06T15:28:58Z,GetFunction,lambda.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:role/lambda-execution-role,eu-west-1,ThrottlingException,0
2025-11-06T15:52:46Z,AssumeRole,sts.amazonaws.com,10.0.3.8,arn:aws:iam::123456789012:user/ops-dave,us-east-1,,0
2025-11-06T16:15:48Z,Invoke,lambda.amazonaws.com,172.16.1.7,arn:aws:iam::123456789012:role/lambda-execution-role,eu-west-1,,0
2025-11-06T16:17:19Z,DescribeSecurityGroups,ec2.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/ops-dave,eu-west-1,,0
2025-11-06T16:50:01Z,ListBuckets,s3.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:role/lambda-execution-role,us-west-2,,0
2025-11-06T16:54:20Z,ListRoles,iam.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:user/analyst-frank,eu-west-1,,0
2025-11-06T17:18:44Z,ListPolicies,iam.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:role/ecs-task-role,us-east-1,,0
2025-11-06T17:38:18Z,GetBucketLocation,s3.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:user/ops-erin,us-west-2,,0
2025-11-06T17:48:44Z,ListUsers,iam.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:role/ecs-task-role,eu-west-1,ThrottlingException,0
2025-11-07T08:35:08Z,ModifyInstanceAttribute,ec2.amazonaws.com,139.59.100.22,arn:aws:iam::123456789012:user/developer-bob,us-east-1,,1
2025-11-07T09:39:47Z,GetBucketLocation,s3.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:user/ops-dave,eu-west-1,,0
2025-11-07T09:48:48Z,ListRoles,iam.amazonaws.com,172.16.0.12,arn:aws:iam::123456789012:role/ecs-task-role,eu-west-1,,0
2025-11-07T11:15:11Z,GetCallerIdentity,sts.amazonaws.com,10.0.1.33,arn:aws:iam::123456789012:user/developer-alice,ap-southeast-1,,0
2025-11-07T11:50:19Z,AssumeRole,sts.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/developer-bob,ap-southeast-1,,0
2025-11-07T12:45:10Z,DescribeImages,ec2.amazonaws.com,10.0.1.15,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,ap-southeast-1,,0
2025-11-07T12:52:48Z,CreateRole,iam.amazonaws.com,203.0.113.42,arn:aws:iam::123456789012:root,sa-east-1,,1
2025-11-07T12:53:58Z,ListObjects,s3.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/developer-carol,ap-southeast-1,,0
2025-11-07T12:59:16Z,DescribeTable,dynamodb.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:user/ops-dave,ap-southeast-1,,0
2025-11-07T13:20:07Z,Scan,dynamodb.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,us-east-1,,0
2025-11-07T14:38:16Z,GetObject,s3.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:user/developer-alice,eu-west-1,ThrottlingException,0
2025-11-07T14:42:06Z,PutItem,dynamodb.amazonaws.com,10.0.3.8,arn:aws:iam::123456789012:role/lambda-execution-role,ap-southeast-1,,0
2025-11-07T15:17:32Z,AssumeRole,sts.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/developer-bob,us-east-1,,0
2025-11-07T15:40:52Z,ListFunctions,lambda.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/analyst-frank,ap-southeast-1,,0
2025-11-07T16:18:02Z,GetRole,iam.amazonaws.com,54.239.28.85,arn:aws:iam::123456789012:user/ops-erin,ap-southeast-1,,0
2025-11-07T16:26:03Z,GetPolicy,iam.amazonaws.com,10.0.3.8,arn:aws:iam::123456789012:role/ecs-task-role,ap-southeast-1,,0
2025-11-07T17:14:41Z,GetRole,iam.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:user/developer-carol,us-east-1,,0
2025-11-08T04:26:55Z,AttachUserPolicy,iam.amazonaws.com,139.59.100.22,arn:aws:iam::123456789012:root,ap-northeast-3,,1
2025-11-08T09:20:50Z,ListBuckets,s3.amazonaws.com,10.0.3.8,arn:aws:iam::123456789012:user/analyst-frank,ap-southeast-1,,0
2025-11-08T10:27:06Z,GetItem,dynamodb.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/developer-carol,eu-west-1,,0
2025-11-08T11:04:28Z,DescribeImages,ec2.amazonaws.com,10.0.2.45,arn:aws:iam::123456789012:role/lambda-execution-role,eu-west-1,,0
2025-11-08T11:24:12Z,GetCallerIdentity,sts.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:user/developer-bob,eu-west-1,,0
2025-11-08T12:33:26Z,GetCallerIdentity,sts.amazonaws.com,10.0.1.33,arn:aws:iam::123456789012:user/developer-carol,us-east-1,ThrottlingException,0
2025-11-08T13:29:16Z,GetMetricData,cloudwatch.amazonaws.com,192.168.1.102,arn:aws:iam::123456789012:role/ecs-task-role,eu-west-1,,0
2025-11-08T13:53:37Z,AssumeRole,sts.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:user/developer-carol,ap-southeast-1,,0
2025-11-08T14:39:44Z,Invoke,lambda.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/analyst-frank,ap-southeast-1,,0
2025-11-08T14:55:06Z,Scan,dynamodb.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,ap-southeast-1,,0
2025-11-08T15:14:54Z,Scan,dynamodb.amazonaws.com,10.0.1.15,arn:aws:iam::123456789012:user/analyst-frank,ap-southeast-1,,0
2025-11-08T15:39:43Z,ListRoles,iam.amazonaws.com,192.168.1.102,arn:aws:iam::123456789012:user/developer-carol,us-west-2,,0
2025-11-08T15:42:50Z,PutItem,dynamodb.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/developer-alice,us-west-2,,0
2025-11-08T16:22:21Z,AssumeRole,sts.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/analyst-frank,us-west-2,,0
2025-11-08T16:55:34Z,HeadObject,s3.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/ops-dave,eu-west-1,,0
2025-11-08T17:45:17Z,GetFunction,lambda.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/ops-dave,ap-southeast-1,,0
2025-11-08T22:50:32Z,AddUserToGroup,iam.amazonaws.com,198.51.100.77,arn:aws:iam::123456789012:user/test-admin,us-east-1,AccessDenied,1
2025-11-09T09:44:23Z,ListRoles,iam.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/ops-dave,eu-west-1,,0
2025-11-09T09:58:38Z,ListMetrics,cloudwatch.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:user/ops-erin,us-west-2,ThrottlingException,0
2025-11-09T10:09:48Z,GetGroup,iam.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:role/lambda-execution-role,eu-west-1,,0
2025-11-09T11:56:26Z,GetMetricData,cloudwatch.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:role/ecs-task-role,ap-southeast-1,,0
2025-11-09T12:53:10Z,ModifyInstanceAttribute,ec2.amazonaws.com,45.33.32.156,arn:aws:iam::123456789012:user/analyst-frank,ap-northeast-3,AccessDenied,1
2025-11-09T12:56:34Z,ListRoles,iam.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/analyst-frank,ap-southeast-1,ThrottlingException,0
2025-11-09T13:12:24Z,Scan,dynamodb.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/ops-dave,ap-southeast-1,ThrottlingException,0
2025-11-09T13:50:28Z,HeadObject,s3.amazonaws.com,10.0.3.8,arn:aws:iam::123456789012:user/developer-carol,us-east-1,,0
2025-11-09T14:14:40Z,GetPolicy,iam.amazonaws.com,10.0.2.45,arn:aws:iam::123456789012:user/developer-carol,us-east-1,,0
2025-11-09T14:34:57Z,ListMetrics,cloudwatch.amazonaws.com,10.0.1.15,arn:aws:iam::123456789012:role/lambda-execution-role,eu-west-1,,0
2025-11-09T14:36:18Z,ListMetrics,cloudwatch.amazonaws.com,10.0.1.15,arn:aws:iam::123456789012:role/lambda-execution-role,eu-west-1,,0
2025-11-09T14:47:26Z,ListUsers,iam.amazonaws.com,10.0.1.33,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,eu-west-1,,0
2025-11-09T15:00:16Z,GetCallerIdentity,sts.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:user/analyst-frank,eu-west-1,ThrottlingException,0
2025-11-09T15:07:08Z,GetObject,s3.amazonaws.com,10.0.2.45,arn:aws:iam::123456789012:role/ecs-task-role,us-east-1,,0
2025-11-09T15:52:40Z,DescribeInstances,ec2.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:user/ops-dave,ap-southeast-1,,0
2025-11-09T17:20:58Z,GetCallerIdentity,sts.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:user/developer-bob,ap-southeast-1,,0
2025-11-10T09:08:47Z,Invoke,lambda.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/developer-bob,ap-southeast-1,,0
2025-11-10T10:05:53Z,GetObject,s3.amazonaws.com,10.0.3.19,arn:aws:iam::123456789012:user/developer-bob,eu-west-1,,0
2025-11-10T10:20:27Z,DescribeVolumes,ec2.amazonaws.com,10.0.2.45,arn:aws:iam::123456789012:user/analyst-frank,us-west-2,,0
2025-11-10T10:54:52Z,ListFunctions,lambda.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:user/ops-dave,us-east-1,,0
2025-11-10T11:04:08Z,DescribeImages,ec2.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,eu-west-1,,0
2025-11-10T11:08:34Z,DescribeSecurityGroups,ec2.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/developer-alice,us-west-2,,0
2025-11-10T12:52:55Z,GetRole,iam.amazonaws.com,192.168.1.100,arn:aws:iam::123456789012:user/developer-carol,us-east-1,,0
2025-11-10T13:29:41Z,GetObject,s3.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:role/lambda-execution-role,ap-southeast-1,,0
2025-11-10T14:15:08Z,DescribeTable,dynamodb.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:user/developer-bob,us-west-2,ThrottlingException,0
2025-11-10T14:32:37Z,ListObjects,s3.amazonaws.com,172.16.0.12,arn:aws:iam::123456789012:user/ops-dave,us-east-1,,0
2025-11-10T14:50:50Z,GetPolicy,iam.amazonaws.com,10.0.3.8,arn:aws:iam::123456789012:user/developer-alice,us-west-2,,0
2025-11-10T15:55:58Z,GetMetricData,cloudwatch.amazonaws.com,10.0.2.45,arn:aws:iam::123456789012:user/ops-erin,eu-west-1,,0
2025-11-10T16:45:58Z,ListFunctions,lambda.amazonaws.com,192.168.1.102,arn:aws:iam::123456789012:user/developer-bob,eu-west-1,ThrottlingException,0
2025-11-10T16:56:14Z,GetFunction,lambda.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:role/ecs-task-role,ap-southeast-1,,0
2025-11-10T17:03:37Z,AssumeRole,sts.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:user/developer-bob,ap-southeast-1,,0
2025-11-10T17:13:09Z,ListMetrics,cloudwatch.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:user/developer-bob,eu-west-1,,0
2025-11-10T17:18:29Z,AssumeRole,sts.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/developer-bob,us-west-2,,0
2025-11-11T09:05:47Z,GetCallerIdentity,sts.amazonaws.com,10.0.3.19,arn:aws:iam::123456789012:role/lambda-execution-role,ap-southeast-1,,0
2025-11-11T09:11:55Z,GetPolicy,iam.amazonaws.com,52.94.76.10,arn:aws:iam::123456789012:role/lambda-execution-role,us-east-1,,0
2025-11-11T09:27:01Z,ListFunctions,lambda.amazonaws.com,192.168.1.101,arn:aws:iam::123456789012:user/analyst-frank,ap-southeast-1,ThrottlingException,0
2025-11-11T10:15:27Z,AssumeRole,sts.amazonaws.com,172.16.0.12,arn:aws:iam::123456789012:user/developer-bob,ap-southeast-1,,0
2025-11-11T11:23:19Z,ListMetrics,cloudwatch.amazonaws.com,192.168.1.100,arn:aws:iam::123456789012:user/developer-bob,us-east-1,,0
2025-11-11T11:48:39Z,CopyObject,s3.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/ops-erin,ap-southeast-1,,0
2025-11-11T11:51:39Z,Invoke,lambda.amazonaws.com,192.168.1.102,arn:aws:iam::123456789012:user/analyst-frank,us-east-1,,0
2025-11-11T12:25:38Z,GetObject,s3.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:user/ops-erin,us-west-2,,0
2025-11-11T13:01:11Z,DescribeVolumes,ec2.amazonaws.com,192.168.1.100,arn:aws:iam::123456789012:user/ops-erin,eu-west-1,,0
2025-11-11T13:18:20Z,GetObject,s3.amazonaws.com,172.16.0.5,arn:aws:iam::123456789012:role/lambda-execution-role,us-west-2,,0
2025-11-11T14:07:48Z,DescribeImages,ec2.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:role/lambda-execution-role,us-east-1,ThrottlingException,0
2025-11-11T14:14:21Z,PutItem,dynamodb.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,us-east-1,,0
2025-11-11T15:07:18Z,DescribeAlarms,cloudwatch.amazonaws.com,172.16.1.7,arn:aws:iam::123456789012:role/ecs-task-role,eu-west-1,,0
2025-11-11T15:34:45Z,GetPolicy,iam.amazonaws.com,172.16.0.12,arn:aws:iam::123456789012:user/analyst-frank,us-east-1,,0
2025-11-11T15:45:40Z,GetFunction,lambda.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:role/lambda-execution-role,us-east-1,,0
